date,SM_ISMN_daily,SM_SMAP,SM_SMAP_lag1,NDMI_S2,NDVI_S2,NDVI_7day,NDMI_7day,P_ERA5_daily,T2M_ERA5_daily,P_lag1,P_lag2,P_lag3,P_7day
2021-01-01,0.7712289893036455,0.15713665269464705,0.15713665269464705,0.1614593027024237,0.5000549256122372,0.0,0.6134008181900625,0.5943017677693191,0.14927470436213242,0.5943017677693191,0.5943017677693191,0.5943017677693191,0.38414652774183466
2021-01-02,0.9681062512207171,0.15713665269464705,0.15713665269464705,0.1614593027024237,0.5000549256122372,0.0,0.6134008181900625,0.03850836753411665,0.12415199219775652,0.5943017677693191,0.5943017677693191,0.5943017677693191,0.38414652774183466
2021-01-03,0.8649494288001166,0.15713665269464705,0.15713665269464705,0.1614593027024237,0.5000549256122372,0.0,0.6134008181900625,0.00038852487793921645,0.13934488682063617,0.03850836753411665,0.5943017677693191,0.5943017677693191,0.38414652774183466
2021-01-04,0.7478914885594651,0.15713665269464705,0.15713665269464705,0.1614593027024237,0.5000549256122372,0.0,0.6134008181900625,7.96522469153349e-06,0.22043290170277235,0.00038852487793921645,0.03850836753411665,0.5943017677693191,0.38414652774183466
2021-01-05,0.6730979127835709,0.7912747967484401,0.15713665269464705,0.15175741517715932,0.495183636411374,0.0,0.6134008181900625,9.407466675216257e-06,0.26899065611466233,7.96522469153349e-06,0.00038852487793921645,0.03850836753411665,0.38414652774183466
2021-01-06,0.6338135778214362,0.4533025625035162,0.7912747967484401,0.14205552765189494,0.4903123472105111,0.0,0.6134008181900625,0.013101930708074104,0.333286215528969,9.407466675216257e-06,7.96522469153349e-06,0.00038852487793921645,0.38414652774183466
2021-01-07,0.6061995197555119,0.4533025625035162,0.4533025625035162,0.1323536401266303,0.4854410580096481,0.0,0.6134008181900625,0.08599301166183705,0.2607068755403221,0.013101930708074104,9.407466675216257e-06,7.96522469153349e-06,0.38414652774183466
2021-01-08,0.5873171796550971,0.7264584153758636,0.4533025625035162,0.12265175260136596,0.48056976880878505,0.0,0.6134008181900625,0.004847661454472945,0.1969095364892947,0.08599301166183705,0.013101930708074104,9.407466675216257e-06,0.07492791868846674
2021-01-09,0.5425827174353697,0.7264584153758636,0.7264584153758636,0.11294986507610133,0.4756984796079219,0.0,0.6134008181900625,2.636846910399645e-05,0.15619367281528132,0.004847661454472945,0.08599301166183705,0.013101930708074104,0.05474085052319654
2021-01-10,0.5259768609473914,0.7165606232917109,0.7264584153758636,0.10324797755083698,0.470827190407059,0.0,0.6134008181900625,0.0009544199292779352,0.15520196831419325,2.636846910399645e-05,0.004847661454472945,0.08599301166183705,0.055037710412321944
