date,SM_ISMN_daily,SM_SMAP,SM_SMAP_lag1,NDMI_S2,NDVI_S2,NDVI_7day,NDMI_7day,P_ERA5_daily,T2M_ERA5_daily,P_lag1,P_lag2,P_lag3,P_7day
2020-01-01,0.5276224643627273,0.6536873008811435,0.6536873008811435,0.0,0.39627810261393714,0.0,0.014187198779412102,7.462287154531956e-06,0.2416755175634867,7.462287154531956e-06,7.462287154531956e-06,7.462287154531956e-06,9.923828885754528e-05
2020-01-02,0.5279410654385039,0.6536873008811435,0.6536873008811435,0.0,0.39627810261393714,0.0,0.014187198779412102,1.6126128308561693e-05,0.34096805306549127,7.462287154531956e-06,7.462287154531956e-06,7.462287154531956e-06,9.923828885754528e-05
2020-01-03,0.5135202183081121,0.6191339693237752,0.6536873008811435,0.0,0.39627810261393714,0.0,0.014187198779412102,0.00016761114240005878,0.27543752065165594,1.6126128308561693e-05,7.462287154531956e-06,7.462287154531956e-06,9.923828885754528e-05
2020-01-04,0.48825176312152263,0.3374819269956549,0.6191339693237752,0.0,0.39627810261393714,0.0,0.014187198779412102,2.8961479642145757e-05,0.1867330029801193,0.00016761114240005878,1.6126128308561693e-05,7.462287154531956e-06,9.923828885754528e-05
2020-01-05,0.47533885117611263,0.3374819269956549,0.3374819269956549,0.0,0.39627810261393714,0.0,0.014187198779412102,1.4885364573350425e-05,0.27694493451775903,2.8961479642145757e-05,0.00016761114240005878,1.6126128308561693e-05,9.923828885754528e-05
2020-01-06,0.460431654676259,0.5984306436389486,0.3374819269956549,0.0040842219542560065,0.39683879691176427,0.0,0.014187198779412102,1.3196366454051796e-05,0.20514595695535176,1.4885364573350425e-05,2.8961479642145757e-05,0.00016761114240005878,9.923828885754528e-05
2020-01-07,0.4477033757609299,0.5984306436389486,0.5984306436389486,0.008168443908512013,0.3973994912095915,0.0,0.014187198779412102,8.221163358970242e-07,0.22256829887516683,1.3196366454051796e-05,1.4885364573350425e-05,2.8961479642145757e-05,9.923828885754528e-05
2020-01-08,0.4415205236341432,0.5676831695162206,0.5984306436389486,0.01225266586276802,0.39796018550741863,0.0,0.014187198779412102,0.0,0.29128130649759115,8.221163358970242e-07,1.3196366454051796e-05,1.4885364573350425e-05,9.539300166791417e-05
2020-01-09,0.4430270665500271,0.5607683302966648,0.5676831695162206,0.01633688781702408,0.3985208798052459,0.0,0.014187198779412102,0.002125806255145185,0.4668380335351487,0.0,8.221163358970242e-07,1.3196366454051796e-05,0.0011825028646292983
2020-01-10,0.4476379487542973,0.5607683302966648,0.5607683302966648,0.02042110977127981,0.39908157410307293,0.0,0.014187198779412102,0.15538879645868178,0.4918493094965584,0.002125806255145185,0.0,8.221163358970242e-07,0.08116736850912343
